score,weight1,weight2,weight3,weight4,weight5,weight6,population
7925, -0.457391,-0.323121,0.077777,0.890312,0.751073,0.101645, 8
11677, -0.457391,-0.949764,0.077777,0.890312,0.751073,0.101645, 8
4350, -0.457391,-0.323121,0.077777,0.890312,0.751073,0.101645, 8
3417, -0.457391,-0.323121,0.077777,-0.991977,0.751073,0.101645, 8
7749, -0.457391,-0.830422,0.077777,-0.991977,0.751073,0.101645, 8
5727, -0.457391,-1.708093,0.155516,0.890312,0.751073,0.101645, 8
603, -0.457391,-0.323121,0.077777,0.890312,0.751073,0.101645, 8
2781, -0.457391,-0.949764,0.077777,-0.991977,0.751073,0.101645, 8
5665, -0.457391,-0.949764,0.077777,0.890312,0.751073,0.101645, 8
3482, -0.457391,-0.323121,0.077777,0.890312,0.751073,0.101645, 8
3592, -0.457391,-0.949764,0.077777,-0.991977,0.751073,0.101645, 8
3258, -0.457391,-0.949764,0.077777,-0.991977,0.751073,0.101645, 8
6670, -0.457391,-0.949764,0.077777,-0.991977,0.751073,0.101645, 8
7263, -0.268983,-0.949764,0.155516,0.890312,0.751073,0.101645, 8
3128, -0.457391,-0.323121,0.077777,0.890312,0.751073,0.101645, 8
3680, -0.457391,-0.949764,0.155516,0.890312,0.751073,0.101645, 9
801, -0.457391,-0.323121,0.077777,0.890312,0.751073,0.163362, 9
5421, -0.457391,-0.839880,0.077777,0.890312,0.751073,0.101645, 9
6110, -0.457391,-0.949764,0.077777,0.890312,0.751073,0.101645, 9
6792, -0.457391,-0.830422,0.155516,0.890312,0.751073,0.101645, 9
3982, -0.457391,-0.949764,0.077777,0.890312,0.751073,0.101645, 9
3482, -0.457391,-0.949764,0.077777,0.890312,0.751073,0.101645, 9
3230, -0.457391,-0.323121,0.077777,0.890312,0.751073,0.101645, 9
4036, -0.457391,-0.949764,-0.360535,0.890312,0.751073,0.101645, 9
9392, -0.457391,-0.949764,0.077777,0.890312,0.751073,0.101645, 9
3845, -0.268983,-0.949764,0.077777,0.890312,0.874647,0.101645, 9
9109, -0.457391,-0.949764,0.077777,0.890312,0.751073,0.101645, 9
5943, -0.457391,-1.708093,0.155516,0.890312,0.751073,0.101645, 9
4369, -0.457391,-0.949764,0.077777,-0.991977,0.751073,0.101645, 9
4375, -0.268983,-0.949764,0.155516,0.890312,0.751073,0.101645, 9
1962, -0.457391,-0.830422,0.077777,-0.991977,0.751073,0.101645, 9
6478, -0.457391,-0.323121,0.077777,0.890312,0.751073,0.101645, 9
2434, -0.457391,-1.708093,0.155516,0.890312,0.751073,0.101645, 9
7256, -0.457391,-0.949764,0.077777,0.890312,0.751073,0.101645, 9
7750, -0.457391,-0.949764,0.077777,0.890312,0.751073,0.101645, 9
17784, -0.457391,-0.839880,0.155516,0.890312,0.751073,0.101645, 10
10015, -0.457391,-0.949764,0.077777,0.890312,0.751073,0.101645, 10
2679, -0.457391,-0.839880,0.155516,0.890312,0.751073,0.101645, 10
1349, -0.457391,-0.949764,0.077777,0.890312,0.751073,0.101645, 10
1288, -0.457391,-0.323121,0.077777,0.890312,0.751073,0.101645, 10
2262, -0.457391,-0.426812,0.155516,0.890312,0.751073,0.101645, 10
3953, -0.457391,-0.949764,0.077777,0.890312,0.751073,-1.583625, 10
2714, -0.457391,-0.949764,0.077777,0.890312,0.751073,0.101645, 10
4903, -0.457391,-0.323121,0.077777,0.890312,0.751073,0.101645, 10
3825, -0.457391,-0.949764,0.077777,0.890312,0.751073,0.101645, 10
4290, -0.268983,-0.949764,0.155516,0.890312,0.751073,0.101645, 10
4495, -0.457391,-0.839880,0.077777,0.890312,0.751073,0.101645, 10
2735, -0.457391,-1.708093,0.155516,0.890312,0.751073,0.101645, 10
652, -0.457391,-0.949764,0.077777,0.890312,0.751073,0.101645, 10
3244, -0.457391,-0.323121,0.077777,0.890312,0.751073,0.101645, 10
1799, -0.457391,-0.830422,0.155516,0.890312,0.751073,0.101645, 10
3420, -0.457391,-0.949764,0.077777,0.890312,0.751073,0.101645, 10
6042, -0.457391,-0.949764,0.077777,0.890312,0.751073,0.101645, 10
8372, -0.457391,-0.949764,0.077777,0.890312,0.751073,0.101645, 10
1692, -0.457391,-0.949764,0.077777,0.890312,0.751073,0.101645, 10
7180, -1.518622,-0.949764,0.077777,0.890312,0.751073,0.101645, 11
6390, -0.457391,-1.945901,0.077777,0.890312,0.751073,0.101645, 11
1417, -0.457391,-0.949764,-0.723808,0.890312,0.751073,0.101645, 11
3904, -0.457391,-0.949764,0.077777,0.890312,0.751073,0.101645, 11
4050, -0.457391,-0.839880,0.155516,0.890312,0.751073,-1.348007, 11
9704, -0.268983,-0.949764,0.155516,0.890312,0.751073,0.101645, 11
